response__id,response__uuid,response__date_created,response__completed,response__withdrawn,response__eligibility,response__parent_feedback,response__birthdate_difference,response__video_privacy,response__databrary,response__is_preview,consent__ruling,consent__arbiter,consent__time,consent__comment,consent__time,study__uuid,participant__hashed_id,child__hashed_id,child__age_rounded,child__gender,child__age_at_birth,child__language_list,child__condition_list,child__additional_information,response__sequence,response__conditions,response__researcher_payment_status
"317453","a79734d1-7ce3-49cf-9a6f-a5e50ea73e03","2025-04-26 03:44:49.547632+00:00","True","False",,"None","0","private","no","True","accepted","Yasmine  Caraiscos","2025-04-29 23:37","None","2025-04-29 23:37","a67b77ec-df98-4a88-9ec6-fbf92d393981","RJZWW5","LA3Nd4","1950","m","38 weeks","en","","",,,""
"319121","e58baabd-8ebc-4756-aae2-b5f9ed04e89f","2025-04-30 18:31:24.224316+00:00","True","False",,"None","9","private","no","True","accepted","Rondeline  Williams","2025-04-30 19:24","None","2025-04-30 19:24","a67b77ec-df98-4a88-9ec6-fbf92d393981","Z3W6dH","WJEBN2","660","m","37 weeks","en","","",,,""
